SriLanka_creole,phonetic_transcription,phono_TRSVD,phono_CV
matança,matansa,RV.TVR.SV,CV.CVC.CV
Matches,mat̠ʃes,RV.TVS,CV.CVC
Mate,mate,RV.TV,CV.CV
Matinha,matiɲa,RV.TV.RV,CV.CV.CV
Métres,meːtɾes,RV.TRVS,CV.CCVC
Mêi,meːj,RVR,CVC
Medè,medeː,RV.TV,CV.CV
Media,media,RV.TV.V,CV.CV.V
Miting,miting,RV.TVR.T,CV.CVC.C
Megoà,megoaː,RV.TV.V,CV.CV.V
melgoá,melgoaː,RVR.TV.V,CVC.CV.V
Megoador,megoadoɾ,RV.TV.V.TVR,CV.CV.V.CVC
Meido,meido,RVG.TV,CVG.CV
Melhoramente,meʎoɾamente,RV.RV.RV.RVR.TV,CV.CV.CV.CVC.CV
Mellifluoso,melifluozo,RV.RV.TRV.V.SV,CV.CV.CCV.V.CV
Memo,memo,RV.RV,CV.CV
Memoso,memozo,RV.RV.SV,CV.CV.CV
Mentè,menteː,RVR.TV,CVC.CV
Méo,meːo,RV.V,CV.V
Mercacia,meɾkasia,RVR.TV.SV.V,CVC.CV.CV.V
Mercadeira,meɾkadeiɾa,RVR.TV.TVG.RV,CVC.CV.CVG.CV
Mercê,meɾseː,RVR.SV,CVC.CV
Mercemento,meɾsemento,RVR.SV.RVR.TV,CVC.CV.CVC.CV
mercimento,meɾsimento,RVR.SV.RVR.TV,CVC.CV.CVC.CV
mericemento,meɾisemento,RV.RV.SV.RVR.TV,CV.CV.CV.CVC.CV
Merecê,meɾeseː,RV.RV.SV,CV.CV.CV
Meritória,meɾitoːɾia,RV.RV.TV.RV.V,CV.CV.CV.CV.V
Merón,meɾoːn,RV.RVR,CV.CVC
Mès,meːs,RVS,CVC
méis,meːjs,RVRS,CVCC
Més,meːs,RVS,CVC
Méssa,meːsa,RV.SV,CV.CV
Messá,mesaː,RV.SV,CV.CV
Messangeiro,mesand̠ʒeiɾo,RV.SVR.TVG.RV,CV.CVC.CVG.CV
massengeiro,masend̠ʒeiɾo,RV.SVR.TVG.RV,CV.CVC.CVG.CV
Mestre,mestɾe,RVS.TRV,CVC.CCV
méstri,meːstɾi,RVS.TRV,CVC.CCV
Metade,metade,RV.TV.TV,CV.CV.CV
metai,metai,RV.TV.V,CV.CV.V
Methodisto,metodisto,RV.TV.TVS.TV,CV.CV.CVC.CV
Milagrioso,milagɾiozo,RV.RV.TRV.V.SV,CV.CV.CCV.V.CV
Mail,mail,RV.VR,CV.VC
Militàrio,militaːɾio,RV.RV.TV.RV.V,CV.CV.CV.CV.V
Millions,milions,RV.RV.VRS,CV.CV.VCC
Mils,mils,RVRS,CVCC
Mimôri,mimoːɾi,RV.RV.RV,CV.CV.CV
Minguação,minguasaːo,RVR.TV.V.SV.V,CVC.CV.V.CV.V
Minha,miɲa,RV.RV,CV.CV
minhè,miɲeː,RV.RV,CV.CV
Ministeiro,ministeiɾo,RV.RVS.TVG.RV,CV.CVC.CVG.CV
Ministração,ministɾasaːo,RV.RVS.TRV.SV.V,CV.CVC.CCV.CV.V
Minté,minteː,RVR.TV,CVC.CV
Minteira,minteiɾa,RVR.TVG.RV,CVC.CVG.CV
Minteroso,minteɾozo,RVR.TV.RV.SV,CVC.CV.CV.CV
mintroso,mintɾozo,RVR.TRV.SV,CVC.CCV.CV
Minuito,minuito,RV.RV.V.TV,CV.CV.V.CV
Mira,miɾa,RV.RV,CV.CV
Misaravel,mizaɾaʋel,RV.SV.RV.TVR,CV.CV.CV.CVC
misravel,mizɾaʋel,RVS.RV.TVR,CVC.CV.CVC
Misinha,miziɲa,RV.SV.RV,CV.CV.CV
Misricordia,mizɾikoɾdia,RVS.RV.TVR.TV.V,CVC.CV.CVC.CV.V
misrecordia,mizɾekoɾdia,RVS.RV.TVR.TV.V,CVC.CV.CVC.CV.V
Misricordioso,mizɾikoɾdiozo,RVS.RV.TVR.TV.V.SV,CVC.CV.CVC.CV.V.CV
Misté,misteː,RVS.TV,CVC.CV
mista,mista,RVS.TV,CVC.CV
Mistia,mistia,RVS.TV.V,CVC.CV.V
Mistem,mistem,RVS.TVR,CVC.CVC
Mistrá,mistɾaː,RVS.TRV,CVC.CCV
Moça,mosa,RV.SV,CV.CV
Moção,mosaːo,RV.SV.V,CV.CV.V
Mofiná,mofinaː,RV.TV.RV,CV.CV.CV
Moito,mojto,RVR.TV,CVC.CV
Moleira,moleiɾa,RV.RVG.RV,CV.CVG.CV
Molgá,molgaː,RVR.TV,CVC.CV
Molyà,molʲaː,RV.RV,CV.CV
Molya,molʲa,RV.RV,CV.CV
mujà,mud̠ʒaː,RV.TV,CV.CV
Mónster,moːnsteɾ,RVRS.TVR,CVCC.CVC
Montanho,montaɲo,RVR.TV.RV,CVC.CV.CV
Mooi,mooj,RV.VR,CV.VC
Moradè,moɾadeː,RV.RV.TV,CV.CV.CV
morado,moɾado,RV.RV.TV,CV.CV.CV
morando,moɾando,RV.RVR.TV,CV.CVC.CV
morança,moɾansa,RV.RVR.SV,CV.CVC.CV
moradura,moɾaduɾa,RV.RV.TV.RV,CV.CV.CV.CV
Morra,mora,RV.RV,CV.CV
Morrendo,morendo,RV.RVR.TV,CV.CVC.CV
Morro,moro,RV.RV,CV.CV
Mortajo,moɾtad̠ʒo,RVR.TV.TV,CVC.CV.CV
Mortià,moɾtiaː,RVR.TV.V,CVC.CV.V
Mostárdè,mostaːɾdeː,RVS.TVR.TV,CVC.CVC.CV
Mourdé,mouɾdeː,RVGR.TV,CVGC.CV
Mourdindo,mouɾdindo,RVGR.TVR.TV,CVGC.CVC.CV
Movà,moʋaː,RV.TV,CV.CV
Muê,mueː,RV.V,CV.V
muá,muaː,RV.V,CV.V
Mudana,mudana,RV.TV.RV,CV.CV.CV
Mudáncè,mudaːnseː,RV.TVR.SV,CV.CVC.CV
mudação,mudasaːo,RV.TV.SV.V,CV.CV.CV.V
Mudano,mudano,RV.TV.RV,CV.CV.CV
Mulhàra,muʎaːɾa,RV.RV.RV,CV.CV.CV
Mulvado,mulʋado,RVR.TV.TV,CVC.CV.CV
Mundado,mundado,RVR.TV.TV,CVC.CV.CV
Mundoso,mundozo,RVR.TV.SV,CVC.CV.CV
Murguiá,muɾgiaː,RVR.TV.V,CVC.CV.V
Murguiaçâo,muɾgiasaːo,RVR.TV.V.SV.V,CVC.CV.V.CV.V
Murindo,muɾindo,RV.RVR.TV,CV.CVC.CV
Murmerà,muɾmeɾaː,RVR.RV.RV,CVC.CV.CV
Murmeração,muɾmeɾasaːo,RVR.RV.RV.SV.V,CVC.CV.CV.CV.V
Murré,mureː,RV.RV,CV.CV
Musicante,muzikante,RV.SV.TVR.TV,CV.CV.CVC.CV
Musico,muziko,RV.SV.TV,CV.CV.CV
Mustrà,mustɾaː,RVS.TRV,CVC.CCV
Mutúra,mutuːɾa,RV.TV.RV,CV.CV.CV
Mystéria,misteːɾia,RVS.TV.RV.V,CVC.CV.CV.V
Nacemento,nasemento,RV.SV.RVR.TV,CV.CV.CVC.CV
Nada,nada,RV.TV,CV.CV
Nada,nada,RV.TV,CV.CV
nadè,nadeː,RV.TV,CV.CV
nandè,nandeː,RVR.TV,CVC.CV
Nadia,nadia,RV.TV.V,CV.CV.V
Namais,namais,RV.RV.VS,CV.CV.VC
namás,namaːs,RV.RVS,CV.CVC
Nan,nan,RVR,CVC
Natal-dia,natal dia,RV.TVR TV.V,CV.CVC CV.V
Nau-quebrado,nau kebɾado,RVG TV.TRV.TV,CVG CV.CCV.CV
Navigà,naʋigaː,RV.TV.TV,CV.CV.CV
Necestade,nesestade,RV.SVS.TV.TV,CV.CVC.CV.CV
Negligá,negligaː,RV.TRV.TV,CV.CCV.CV
Negócia,negoːsia,RV.TV.SV.V,CV.CV.CV.V
Nehum,neum,RVGR,CVGC
nihum,nium,RV.VR,CV.VC
nium,nium,RV.VR,CV.VC
Nemistê,nemisteː,RV.RVS.TV,CV.CVC.CV
nemistà,nemistaː,RV.RVS.TV,CV.CVC.CV
nimisté,nimisteː,RV.RVS.TV,CV.CVC.CV
numistè,numisteː,RV.RVS.TV,CV.CVC.CV
Nérva,neːɾʋa,RVR.TV,CVC.CV
Nigrinha,nigɾiɲa,RV.TRV.RV,CV.CCV.CV
Nimito,nimito,RV.RV.TV,CV.CV.CV
nimíta,nimiːta,RV.RV.TV,CV.CV.CV
Nimità,nimitaː,RV.RV.TV,CV.CV.CV
Nimitação,nimitasaːo,RV.RV.TV.SV.V,CV.CV.CV.CV.V
Ninquer,ninkeɾ,RVR.TVR,CVC.CVC
Ninqueria,ninkeɾia,RVR.TV.RV.V,CVC.CV.CV.V
Nistá,nistaː,RVS.TV,CVC.CV
Nistade,nistade,RVS.TV.TV,CVC.CV.CV
Nó,noː,RV,CV
nuó,nuoː,RV.V,CV.V
Nóber,noːbeɾ,RV.TVR,CV.CVC
Nobilidade,nobilidade,RV.TV.RV.TV.TV,CV.CV.CV.CV.CV
Nobréza,nobɾeːza,RV.TRV.SV,CV.CCV.CV
Nocente,nosente,RV.SVR.TV,CV.CVC.CV
nocenti,nosenti,RV.SVR.TV,CV.CVC.CV
Nogo,nogo,RV.TV,CV.CV
Noivu,nojʋu,RVR.TV,CVC.CV
Nómber,noːmbeɾ,RVR.TVR,CVC.CVC
Nompodé,nompodeː,RVR.TV.TV,CVC.CV.CV
nompôdi,nompoːdi,RVR.TV.TV,CVC.CV.CV
Nompodia,nompodia,RVR.TV.TV.V,CVC.CV.CV.V
Nona,nona,RV.RV,CV.CV
Nôtis,noːtis,RV.TVS,CV.CVC
Nonca,nonka,RVR.TV,CVC.CV
nonco,nonko,RVR.TV,CVC.CV
nuca,nuka,RV.TV,CV.CV
núcu,nuːku,RV.TV,CV.CV
Nono,nono,RV.RV,CV.CV
Nossè,noseː,RV.SV,CV.CV
Nossotros,nosotɾos,RV.SV.TRVS,CV.CV.CCVC
Notáris,notaːɾis,RV.TV.RVS,CV.CV.CVC
Novas-papella,noʋas papela,RV.TVS TV.TV.RV,CV.CVC CV.CV.CV
Novémber,noʋeːmbeɾ,RV.TVR.TVR,CV.CVC.CVC
Nóves,noːʋes,RV.TVS,CV.CVC
Nóvis,noːʋis,RV.TVS,CV.CVC
Nué,nueː,RV.V,CV.V
nuvé,nuʋeː,RV.TV,CV.CV
nuá,nuaː,RV.V,CV.V
Num,num,RVR,CVC
nun,nun,RVR,CVC
Numpodé,numpodeː,RVR.TV.TV,CVC.CV.CV
numpôdi,numpoːdi,RVR.TV.TV,CVC.CV.CV
Numpodia,numpodia,RVR.TV.TV.V,CVC.CV.CV.V
Nuntem,nuntem,RVR.TVR,CVC.CVC
Nuntinha,nuntiɲa,RVR.TV.RV,CVC.CV.CV
Numbro,numbɾo,RVR.TRV,CVC.CCV
Nunca,nunka,RVR.TV,CVC.CV
nunco,nunko,RVR.TV,CVC.CV
Nuvè,nuʋeː,RV.TV,CV.CV
Ô,oː,V,V
Obedicé,obediseː,V.TV.TV.SV,V.CV.CV.CV
obdecé,obdeseː,V.T.TV.SV,V.C.CV.CV
Obdicindo,obdisindo,V.T.TV.SVR.TV,V.C.CV.CVC.CV
Obedecencia,obedesensia,V.TV.TV.SVR.SV.V,V.CV.CV.CVC.CV.V
obedecimento,obedesimento,V.TV.TV.SV.RVR.TV,V.CV.CV.CV.CVC.CV
Obre,obɾe,V.TRV,V.CCV
óber,oːbeɾ,V.TVR,V.CVC
Obração,obɾasaːo,V.TRV.SV.V,V.CCV.CV.V
Obraro,obɾaɾo,V.TRV.RV,V.CCV.CV
Obrigacè,obɾigaseː,V.TRV.TV.SV,V.CCV.CV.CV
Occidente,oksidente,V.T.SV.TVR.TV,V.C.CV.CVC.CV
Octóber,oktoːbeɾ,V.T.TV.TVR,V.C.CV.CVC
Ódia,oːdia,V.TV.V,V.CV.V
Offéncia,ofeːnsia,V.TVR.SV.V,V.CVC.CV.V
Offercé,ofeɾseː,V.TVR.SV,V.CVC.CV
Offercimento,ofeɾsimento,V.TVR.SV.RVR.TV,V.CVC.CV.CVC.CV
offeração,ofeɾasaːo,V.TV.RV.SV.V,V.CV.CV.CV.V
offerça,ofeɾsa,V.TVR.SV,V.CVC.CV
offerço,ofeɾso,V.TVR.SV,V.CVC.CV
Ófis,oːfis,V.TVS,V.CVC
Ófiser,oːfizeɾ,V.TV.SVR,V.CV.CVC
Officina,ofisina,V.TV.SV.RV,V.CV.CV.CV
officio,ofisio,V.TV.SV.V,V.CV.CV.V
officia,ofisia,V.TV.SV.V,V.CV.CV.V
offiço,ofiso,V.TV.SV,V.CV.CV
Ogo,ogo,V.TV,V.CV
Oitórè,ojtoːɾeː,VR.TV.RV,VC.CV.CV
Olhà,oʎaː,V.RV,V.CV
Olyà,olʲaː,V.RV,V.CV
oyà,ojaː,V.RV,V.CV
Olyo,olʲo,V.RV,V.CV
Ómber,oːmbeɾ,VR.TVR,VC.CVC
Omóris,omoːɾis,V.RV.RVS,V.CV.CVC
Omp,omp,VR.T,VC.C
ompi,ompi,VR.TV,VC.CV
Ontà,ontaː,VR.TV,VC.CV
Onte,onte,VR.TV,VC.CV
ónti,oːnti,VR.TV,VC.CV
ónta,oːnta,VR.TV,VC.CV
Onzimo,onzimo,VR.SV.RV,VC.CV.CV
Oppressà,opɾesaː,V.TRV.SV,V.CCV.CV
Oratória,oɾatoːɾia,V.RV.TV.RV.V,V.CV.CV.CV.V
Orde,oɾde,VR.TV,VC.CV
órdi,oːɾdi,VR.TV,VC.CV
Ordinà,oɾdinaː,VR.TV.RV,VC.CV.CV
Ordinancias,oɾdinansias,VR.TV.RVR.SV.VS,VC.CV.CVC.CV.VC
Oriente,oɾiente,V.RV.VR.TV,V.CV.VC.CV
Orlozo,oɾlozo,VR.RV.SV,VC.CV.CV
Orphano,oɾfano,VR.TV.RV,VC.CV.CV
Ortelão,oɾtelaːo,VR.TV.RV.V,VC.CV.CV.V
Orvai,oɾʋai,VR.TV.V,VC.CV.V
oravai,oɾaʋai,V.RV.TV.V,V.CV.CV.V
Otro,otɾo,V.TRV,V.CCV
outrè,outɾeː,VG.TRV,VG.CCV
Oudisido,oudizido,VG.TV.SV.TV,VG.CV.CV.CV
Ouleiro,ouleiɾo,VG.RVG.RV,VG.CVG.CV
Oura,ouɾa,VG.RV,VG.CV
óru,oːɾu,V.RV,V.CV
Ouro-anjo,ouɾo and̠ʒo,VG.RV VR.TV,VG.CV VC.CV
Ouro-coroa,ouɾo koɾoa,VG.RV TV.RV.V,VG.CV CV.CV.V
Ouvida,ouʋida,VG.TV.TV,VG.CV.CV
ovido,oʋido,V.TV.TV,V.CV.CV
ovida,oʋida,V.TV.TV,V.CV.CV
Ovi,oʋi,V.TV,V.CV
Ovelho,oʋeʎo,V.TV.RV,V.CV.CV
Óksigen,oːksid̠ʒen,V.T.SV.TVR,V.C.CV.CVC
Pacencia,pasensia,TV.SVR.SV.V,CV.CVC.CV.V
pacénci,paseːnsi,TV.SVR.SV,CV.CVC.CV
paciénci,pasieːnsi,TV.SV.VR.SV,CV.CV.VC.CV
Padaço,padaso,TV.TV.SV,CV.CV.CV
padas,padas,TV.TVS,CV.CVC
padaz,padas,TV.TVS,CV.CVC
Padecemento,padesemento,TV.TV.SV.RVR.TV,CV.CV.CV.CVC.CV
Padicé,padiseː,TV.TV.SV,CV.CV.CV
Pagà,pagaː,TV.TV,CV.CV
Pague,page,TV.TV,CV.CV
Palaço,palaso,TV.RV.SV,CV.CV.CV
Palàver,palaːʋeɾ,TV.RV.TVR,CV.CV.CVC
pàlver,paːlʋeɾ,TVR.TVR,CVC.CVC
pàlvra,paːlʋɾa,TVR.TRV,CVC.CCV
Palavrado,palaʋɾado,TV.RV.TRV.TV,CV.CV.CCV.CV
Palmião,palmiaːo,TVR.RV.VV,CVC.CV.VV
Palmo,palmo,TVR.RV,CVC.CV
Pamperlão,pampeɾlaːo,TVR.TVR.RV.V,CVC.CVC.CV.V
Pan,pan,TVR,CVC
Pancádè,pankaːdeː,TVR.TV.TV,CVC.CV.CV
pancado,pankado,TVR.TV.TV,CVC.CV.CV
Panhà,paɲaː,TV.RV,CV.CV
Panocrua,panokɾua,TV.RV.TRV.V,CV.CV.CCV.V
Pap,pap,TV.T,CV.C
Papagaia,papagaia,TV.TV.TVG.V,CV.CV.CVG.V
Papella,papela,TV.TV.RV,CV.CV.CV
papélè,papeːleː,TV.TV.RV,CV.CV.CV
Papiá,papiaː,TV.TV.V,CV.CV.V
Papiador,papiadoɾ,TV.TV.V.TVR,CV.CV.V.CVC
Papus,papus,TV.TVS,CV.CVC
Par,paɾ,TVR,CVC
Pará,paɾaː,TV.RV,CV.CV
Paràbel,paɾaːbel,TV.RV.TVR,CV.CV.CVC
Parêd,paɾeːd,TV.RV.T,CV.CV.C
Paradiso,paɾadizo,TV.RV.TV.SV,CV.CV.CV.CV
Parçaria,paɾsaɾia,TVR.SV.RV.V,CVC.CV.CV.V
Parè,paɾeː,TV.RV,CV.CV
Paridura,paɾiduɾa,TV.RV.TV.RV,CV.CV.CV.CV
Parecè,paɾeseː,TV.RV.SV,CV.CV.CV
parcé,paɾseː,TVR.SV,CVC.CV
Parecer,paɾeseɾ,TV.RV.SVR,CV.CV.CVC
parcer,paɾseɾ,TVR.SVR,CVC.CVC
Pareço,paɾeso,TV.RV.SV,CV.CV.CV
Parecemento,paɾesemento,TV.RV.SV.RVR.TV,CV.CV.CV.CVC.CV
parcemento,paɾsemento,TVR.SV.RVR.TV,CVC.CV.CVC.CV
paricimento,paɾisimento,TV.RV.SV.RVR.TV,CV.CV.CV.CVC.CV
Parentelha,paɾenteʎa,TV.RVR.TV.RV,CV.CVC.CV.CV
Parentes,paɾentes,TV.RVR.TVS,CV.CVC.CVC
Parentesca,paɾenteska,TV.RVR.TVS.TV,CV.CVC.CVC.CV
Parol,paɾol,TV.RVR,CV.CVC
Paroliero,paɾolieɾo,TV.RV.RV.V.RV,CV.CV.CV.V.CV
Parpora,paɾpoɾa,TVR.TV.RV,CVC.CV.CV
Parque,paɾke,TVR.TV,CVC.CV
parqui,paɾki,TVR.TV,CVC.CV
Parrà,paraː,TV.RV,CV.CV
Pàrtei,paːɾtei,TVR.TVG,CVC.CVG
Parte-possuidor,paɾte posuidoɾ,TVR.TV TV.SV.V.TVR,CVC.CV CV.CV.V.CVC
Paçá,pasaː,TV.SV,CV.CV
Passagè,pasad̠ʒeː,TV.SV.TV,CV.CV.CV
passajo,pasad̠ʒo,TV.SV.TV,CV.CV.CV
pasajo,pazad̠ʒo,TV.SV.TV,CV.CV.CV
passai,pasai,TV.SV.V,CV.CV.V
passei,pasei,TV.SVG,CV.CVG
Passá,pasaː,TV.SV,CV.CV
Pascencia,pasensia,TV.SVR.SV.V,CV.CVC.CV.V
Pasco,pasko,TVS.TV,CVC.CV
Pascoa-tempo,paskoa tempo,TVS.TV.V TVR.TV,CVC.CV.V CVC.CV
Passangeiro,pasand̠ʒeiɾo,TV.SVR.TVG.RV,CV.CVC.CVG.CV
Passante,pasante,TV.SVR.TV,CV.CVC.CV
Passavel,pasaʋel,TV.SV.TVR,CV.CV.CVC
Pastro,pastɾo,TVS.TRV,CVC.CCV
pastor,pastoɾ,TVS.TVR,CVC.CVC
Pasteá,pasteaː,TVS.TV.V,CVC.CV.V
Pastempo,pastempo,TVS.TVR.TV,CVC.CVC.CV
Pastrinho,pastɾiɲo,TVS.TRV.RV,CVC.CCV.CV
pasterinho,pasteɾiɲo,TVS.TV.RV.RV,CVC.CV.CV.CV
pastronélè,pastɾoneːleː,TVS.TRV.RV.RV,CVC.CCV.CV.CV
Pastro,pastɾo,TVS.TRV,CVC.CCV
pastúr,pastuːɾ,TVS.TVR,CVC.CVC
Pateca,pateka,TV.TV.TV,CV.CV.CV
Patriarco,patɾiaɾko,TV.TRV.VR.TV,CV.CCV.VC.CV
Patta,patːa,TV.TV,CV.CV
Paun,paun,TVGR,CVGC
Pavi,paʋi,TV.TV,CV.CV
Péci,peːsi,TV.SV,CV.CV
pési,peːzi,TV.SV,CV.CV
Peçonhoto,pesoɲoto,TV.SV.RV.TV,CV.CV.CV.CV
Pécora,peːkoɾa,TV.TV.RV,CV.CV.CV
Péder,peːdeɾ,TV.TVR,CV.CVC
Pederia,pedeɾia,TV.TV.RV.V,CV.CV.CV.V
pedria,pedɾia,TV.TRV.V,CV.CCV.V
Peditória,peditoːɾia,TV.TV.TV.RV.V,CV.CV.CV.CV.V
peditóri,peditoːɾi,TV.TV.TV.RV,CV.CV.CV.CV
pidetória,pidetoːɾia,TV.TV.TV.RV.V,CV.CV.CV.CV.V
Pedrejà,pedɾed̠ʒaː,TV.TRV.TV,CV.CCV.CV
pedreyà,pedɾejaː,TV.TRV.RV,CV.CCV.CV
pedriá,pedɾiaː,TV.TRV.V,CV.CCV.V
Pegado,pegado,TV.TV.TV,CV.CV.CV
Pégados,peːgados,TV.TV.TVS,CV.CV.CVC
Pei,pei,TVG,CVG
Pelegrino,pelegɾino,TV.RV.TRV.RV,CV.CV.CCV.CV
Péli,peːli,TV.RV,CV.CV
Pelo,pelo,TV.RV,CV.CV
Pelour,pelouɾ,TV.RVGR,CV.CVGC
Penerá,peneɾaː,TV.RV.RV,CV.CV.CV
Pénès,peːneːs,TV.RVS,CV.CVC
pànès,paːneːs,TV.RVS,CV.CVC
Penetenti,penetenti,TV.RV.TVR.TV,CV.CV.CVC.CV
Péshon,peːʃon,TV.TVR,CV.CVC
Pequinino,pekinino,TV.TV.RV.RV,CV.CV.CV.CV
Pequino,pekino,TV.TV.RV,CV.CV.CV
Per,peɾ,TVR,CVC
pera,peɾa,TV.RV,CV.CV
perè,peɾeː,TV.RV,CV.CV
Percauso,peɾkauzo,TVR.TVG.SV,CVC.CVG.CV
Perdá,peɾdaː,TVR.TV,CVC.CV
Perdeção,peɾdesaːo,TVR.TV.SV.V,CVC.CV.CV.V
Perdovà,peɾdoʋaː,TVR.TV.TV,CVC.CV.CV
Perfeità,peɾfeitaː,TVR.TVG.TV,CVC.CVG.CV
Perfeitado,peɾfeitado,TVR.TVG.TV.TV,CVC.CVG.CV.CV
Periba,peɾiba,TV.RV.TV,CV.CV.CV
Perigreneção,peɾigɾenesaːo,TV.RV.TRV.RV.SV.V,CV.CV.CCV.CV.CV.V
Perla,peɾla,TVR.RV,CVC.CV
Permanecente,peɾmanesente,TVR.RV.RV.SVR.TV,CVC.CV.CV.CVC.CV
Permittá,peɾmitːaː,TVR.RV.TV,CVC.CV.CV
Perseguaição,peɾseguaisaːo,TVR.SV.TV.VG.SV.V,CVC.CV.CV.VG.CV.V
Persuaidir,peɾsuaidiɾ,TVR.SV.VG.TVR,CVC.CV.VG.CVC
Pertruvà,peɾtɾuʋaː,TVR.TRV.TV,CVC.CCV.CV
Pervertà,peɾʋeɾtaː,TVR.TVR.TV,CVC.CVC.CV
