SriLanka_creole,Portuguese_IPA,phono_CV
Abaço,ɐ.ˈbaj.ʃu,V.CVC.CV
Aberçà,ɐ.bɾɐ.ˈsaɾ,V.CCV.CVC
abersà,ɐ.bɾɐ.ˈsaɾ,V.CCV.CVC
aburçá,ɐ.bɾɐ.ˈsaɾ,V.CCV.CVC
Aburcé,ɐ.bu.Rɨ.ˈseɾ,V.CV.CV.CVC
Ablà,,
Aborcido,ɐ.bu.Rɨ.ˈsi.du,V.CV.CV.CV.CV
Absença,aw.ˈzẽ.sjɐ,VG.CV.CCV
Absente,,
Abundamente,,
Abysso,,
Acá,ˈka,CV
Acceptà,,
Acceptação,,
Acceptavel,,
Acoompinhà,,
Accordá,,
Acoordança,,
accordancè,,
Acento,,
Acerto,,
Achar,,
Açorague,ɐ.ˈsow.ɡɨ,V.CVG.CV
Ade,,
adem,,
Ade,,
Adéo,ɐ.ˈdewʃ,V.CVGC
Adiôto,ˈdow.tu,CVG.CV
Adivu,,
adiu,,
adio,,
adéo,,
Adjudà,,
Admiral,,
Adultéria,ɐ.duɫ.tˈɛ.ɾi.u,V.CVC.CV.CV.V
adulteração,ɐ.duɫ.tˈɛ.ɾi.u,V.CVC.CV.CV.V
Adulterioso,,
adulteiroso,,
Advocat,,
Advogador,,
Affajado,,
Affeçan,ɐ.fɐj.ˈsɐ̃w̃,V.CVC.CVG
Afflictá,,
Ágô,a.gwɐ,V.CV.V
Agór,,
agorra,,
agorrè,,
Agradado,ɐ.ɡɾɐ.ˈda.vɛɫ,V.CCV.CV.CVC
Aguá,ˈvwaɾ,CV.VC
aguvá,ˈvwaɾ,CV.VC
Aindè,ɐ.ˈĩ.dɐ,V.VC.CV
Aio,,
Ajo,,
Alà,,
allá,,
Albre,ˈaɾ.vu.ɾɨ,VC.CV.CV
àlbri,ˈaɾ.vu.ɾɨ,VC.CV.CV
àlbir,ˈaɾ.vu.ɾɨ,VC.CV.CV
Aldeano,,
Aldia,aɫ.ˈdɐj.ɐ,VC.CVC.V
Alegrado,ɐ.ˈlɛ.ɡɾɨ,V.CV.CCV
Alegroso,ɐ.ˈlɛ.ɡɾɨ,V.CV.CCV
Alembrá,,
Alembração,,
Alfada,aɫ.mu.ˈfa.dɐ,VC.CV.CV.CV
Alfàndago,aɫ.ˈfɐ̃.dɨ.ɡɐ,VC.CV.CV.CV
Alfiato,aɫ.fɐj.ˈa.tɨ,VC.CVC.V.CV
Algoso,,
Alguems,,
Alhum,,
alum,,
Alhuma,aɫ.ˈɡɐ̃j̃,VC.CVC
algum de Alhumas,,
Alhumhoras,,
Alhumhoras...alhumhoras...,,
Allagrá,,
allagriá,,
Allagre,ɐ.ˈlɛ.ɡɾɨ,V.CV.CCV
allagroso,ɐ.ˈlɛ.ɡɾɨ,V.CV.CCV
allegrioso,ɐ.ˈlɛ.ɡɾɨ,V.CV.CCV
Allagria,ɐ.lɨ.ˈɡɾi.ɐ,V.CV.CCV.V
allegri,ɐ.lɨ.ˈɡɾi.ɐ,V.CV.CCV.V
Almári,ɐɾ.ˈma.ɾju,VC.CV.CCV
Almazem,ɐɾ.mɐ.ˈʒɐ̃j̃,VC.CV.CVC
Almóça,aɫ.ˈmo.su,VC.CV.CV
Alqumas,,
Altividade,,
Alumado,ɐ.ˈlwa.du,V.CV.V.CV
Aluminá,i.lu.mi.ˈnaɾ,V.CV.CV.CVC
Alverção,ɐ.vɨɾ.ˈsɐ̃w̃,V.CVC.CVG
Alvorsà,aɫ.vu.ɾu.ˈsaɾ,VC.CV.CV.CVC
alversá,aɫ.vu.ɾu.ˈsaɾ,VC.CV.CV.CVC
Alvoroção,aɫ.vu.ˈɾo.su,VC.CV.CV.CV
alvroço,aɫ.vu.ˈɾo.su,VC.CV.CV.CV
Causedor,,
Depalmião,,
Amanhão,a.mɐ.ˈɲɐ̃,V.CV.CV
aminhão,a.mɐ.ˈɲɐ̃,V.CV.CV
amião,a.mɐ.ˈɲɐ̃,V.CV.CV
amiam,a.mɐ.ˈɲɐ̃,V.CV.CV
Amaroso,ɐ.mu.ˈɾo.zu,V.CV.CV.CV
ameroso,ɐ.mu.ˈɾo.zu,V.CV.CV.CV
amoro,ɐ.mu.ˈɾo.zu,V.CV.CV.CV
Ambal,,
Améças,,
Amiçan,ɐ̃.bi.ˈsɐ̃w̃,V.CV.CVG
Amizade,,
Amos,,
Ámper,,
ámperámper,,
Ampér,ɐ̃.ˈpa.ɾu,V.CV.CV
Amportà,,
Andà,,
andavè,,
Anela,ɐ.ˈnɛɫ,V.CVC
Anima,ˈɐ.ni.mu,V.CV.CV
Anjo-chusmos,,
Anjo-cuidador,,
Anjo-fallas,,
Anjo-rosto,,
Anjóla,,
Ankerà,ɐ̃.ku.ˈɾaɾ,V.CV.CVC
ancrà,ɐ̃.ku.ˈɾaɾ,V.CV.CVC
Anno-casa,,
Anno-dia,,
Anoute,,
Anciado,,
Ansque,,
Antiphono,,
Anxiamente,,
Apertamento,,
apartamento,,
Apinhá,ɐ.pɐ.ˈɲaɾ,V.CV.CVC
Applicação,,
applicaçan,,
Approval,,
April,,
Aquél,ɐ.ˈki.lu,V.CV.CV
aquelle,ɐ.ˈki.lu,V.CV.CV
Aquelvide,,
Arco,,
Ária,ɐ.ˈɾɐj.ɐ,V.CVC.V
Arià,vɐ.ˈɾi.aɾ,CV.CV.VC
Ariba,,
Aromatizàrs,,
Aros,ɐ.ˈʁoʃ,V.CVC
Artaple,,
Ártei,,
Articulo,,
Artifiço,ɐɾ.ti.ˈfi.sju,VC.CV.CV.CCV
Artilháris,,
Ásper,ˈaʃ.pɨ.ɾu,VC.CV.CV
Asperà,,
Asperdade,ɐʃ.pɨ.ˈɾe.zɐ,VC.CV.CV.CV
Assi,,
Assilai,,
assilei,,
Assitanto,ˈtɐ̃.tu,CV.CV
astanto,ˈtɐ̃.tu,CV.CV
Assino,ɐ.si.nɐ.ˈtu.ɾɐ,V.CV.CV.CV.CV
Assofran,ɐ.sɐ.ˈfɾɐ̃w̃,V.CV.CCVG
Assofrà,,
Atà,ɐ.ˈtɛ,V.CV
Atarde,ˈtaɾ.dɨ,CVC.CV
Atchà,ɐ.ˈʃaɾ,V.CVC
Até,,
Atramento,ɐ.tɾɨ.vi.ˈmẽ.tu,V.CCV.CV.CV.CV
Atramentá,,
atrevimentá,,
Atténcia,,
atténcè,,
Attermesan,aɫ.tɨɾ.kɐ.ˈsɐ̃w̃,VC.CVC.CV.CVG
Audénci,aw.ˈdjẽ.sjɐ,VG.CCV.CCV
Audia,aw.ˈda.sjɐ,VG.CV.CCV
Ógost,,
Avantagem,vɐ̃.ˈta.ʒɐ̃j̃,CV.CV.CVC
Avelho,ɐ.ˈbɐj.ʎɐ,V.CVC.CV
Avená,ɐ.bɐ.ˈnaɾ,V.CV.CVC
Avoà,ˈvwaɾ,CV.VC
Avogado,,
Avô-mai,,
Avô-pai,,
Azéte,ɐ.ˈzɐj.tɨ,V.CVC.CV
aziete,ɐ.ˈzɐj.tɨ,V.CVC.CV
Azeitero,,
azietero,,
Baas,,
Bàbaro,,
Bêbi,,
Baclà,bɐ.tɐ.ˈʎaɾ,CV.CV.CVC
Baclador,,
Bacladura,,
bacaldura,,
Bafa,,
Bailo,ˈbaj.lɨ,CVC.CV
Baiso,,
baço,,
Bassá,,
Basséza,baj.ˈʃe.zɐ,CVC.CV.CV
Balança,,
Balmaçado,,
Balmo,,
Bend,,
Banda-dentro,,
Banda-fora,,
Bandérè,,
Bandeya,bɐ̃.ˈdɐj.ʒɐ,CV.CVC.CV
Bangià,,
Bank,,
Benkrut,,
Banths,,
Bariga,,
Baro,,
báru,,
Baro-casa,,
Barrato,bɐ.ˈɾa.tu,CV.CV.CV
Barrê,vɐ.ˈReɾ,CV.CVC
Barido,,
Bàsin,,
Bassóra,,
Bastanto,,
Bàtica,,
Batrai,bɐ.tɨ.ˈɾi.ɐ,CV.CV.CV.V
Battà,bɐ.ˈteɾ,CV.CVC
Battalho,bɐ.ˈta.ʎɐ,CV.CV.CV
Batte,,
Bautismo,,
Bautizá,ba.ti.ˈzaɾ,CV.CV.CVC
Bautista,,
Bai,,
bei,,
Bazar,,
bazaara,,
Beberajo,,
beberai,,
Beberajochaps,,
Beberão,bɨ.bɨ.ˈRɐ̃w̃,CV.CV.CVG
babarão,bɨ.bɨ.ˈRɐ̃w̃,CV.CV.CVG
bebrão,bɨ.bɨ.ˈRɐ̃w̃,CV.CV.CVG
Bebera,,
Béço,ˈbɐj.su,CVC.CV
Bíar,,
Bemfeito,,
bemfeto,,
Bemfeitos,,
Bença,ˈbẽ.swɐ̃w̃,CV.CV.VG
bencè,ˈbẽ.swɐ̃w̃,CV.CV.VG
Bendição,ˈbẽ.swɐ̃w̃,CV.CV.VG
Beneficaçan,bɨ.nɨ.ˈfi.sju,CV.CV.CV.CCV
Benigdade,,
Benzê,,
benzà,,
Bénza,ˈbẽ.swɐ̃w̃,CV.CV.VG
bénzè,ˈbẽ.swɐ̃w̃,CV.CV.VG
Berguer,,
Beryl,,
Béudo,,
Beudice,,
Baibol,,
Baibol-nomes,,
Bibora,,
Bijá,bɐj.ˈʒaɾ,CVC.CVC
Billiard,,
Billiard-cámber,,
Bill,,
Bisiga,bɨ.ˈʃi.ɡɐ,CV.CV.CV
Bispada,,
Blada,,
bladè,,
Blanket,,
Blasphemaçan,,
Blasphemoso,blɐʃ.ˈfe.mu,CCVC.CV.CV
Bõa,ˈbo.ɐ,CV.V
Bôt,,
Bobra,,
Bocadè,bu.ˈka.du,CV.CV.CV
Bodrimo,,
Boffetado,,
Boftiá,,
buftiá,,
Boftada,,
Boltiá,,
Bom,bɐ̃j̃,CVC
Bonancè,,
Bonino,,
Buts,,
Bordè,ˈbɔɾ.dɐ,CVC.CV
Bordiá,buɾ.ˈdaɾ,CVC.CVC
Borrecido,ɐ.bu.Rɨ.ˈsi.du,V.CV.CV.CV.CV
Bota,,
Botle,,
botei,,
bottal,,
Bottle-vinho,,
Boutic,bu.ˈti.kɐ,CV.CV.CV
Boutiqueiro,,
Boventade,,
bovantade,,
Boventademente,,
Bocs,,
Branca,bɾɐ̃.ˈki.aɾ,CCV.CV.VC
Branda,ɐ.bɾɐ̃.ˈdaɾ,V.CCV.CVC
Brandi,,
Branquéza,bɾɐ̃.ˈku.ɾɐ,CCV.CV.CV
Brao,,
brau,,
Braviá,,
Brazá,ɐ.bɾɐ.ˈzaɾ,V.CCV.CVC
Bremellio,vɨɾ.ˈmɐj.ʎu,CVC.CVC.CV
brimellio,vɨɾ.ˈmɐj.ʎu,CVC.CVC.CV
brimalho,vɨɾ.ˈmɐj.ʎu,CVC.CVC.CV
brimejo,vɨɾ.ˈmɐj.ʎu,CVC.CVC.CV
Brinc'-de-fogo,,
Búrdar,,
Bruffà,,
Bruffador,sɨ.mjɐ.ˈdoɾ,CV.CCV.CVC
Bruffamento,,
Bruço,,
Buco,,
búku,,
Bunaca,bu.ˈnɛ.kɐ,CV.CV.CV
Bunito,bu.ˈni.tu,CV.CV.CV
Burà,,
Burcê,ɐ.bu.Rɨ.ˈseɾ,V.CV.CV.CVC
burçá,ɐ.bu.Rɨ.ˈseɾ,V.CV.CV.CVC
Burdade,,
Búru,,
Busca,,
Caba,,
cava,,
Cabai,,
cabaya,,
cuobai,,
Cabeça,kɐ.ˈbe.sɐ,CV.CV.CV
cabeçé,kɐ.ˈbe.sɐ,CV.CV.CV
Cabelho,kɐ.ˈbe.lu,CV.CV.CV
Cabrado,,
Caçaria,,
Cacada,,
Cacho,,
Cachór,,
Cachorinho,kɐ.ˈʃo.Ru,CV.CV.CV
Cadahora,,
cadora,,
cadhor,,
Cadhum,,
Cadè,ˈkɐ.dɐ,CV.CV
Cadéra,kɐ.ˈdɐj.ɾɐ,CV.CVC.CV
Cadia,kɐ.ˈdɐj.ɐ,CV.CVC.V
Caflà,,
Caflação,,
Cafrana,,
Cahidas-per-traz,,
Caix,ˈkaj.ʃɐ,CVC.CV
Calão,,
Càlis,ˈka.li.sɨ,CV.CV.CV
Calmo,ˈkaɫ.mɐ,CVC.CV
Calquinha,,
Calsão,,
Calvàri,,
Cambiador,kɐ̃.ˈbiʃ.tɐ,CV.CVC.CV
Cambra,,
cambrè,,
càmber,,
Cambrão,,
Cam'rado,,
cambrado,,
Campal,,
Can',,
candè,,
Canàlhi,kɐ.ˈna.ʎɐ,CV.CV.CV
Cançàs,,
Câncer,,
Candecera,kɐ̃.ˈdjɐj.ɾu,CV.CCVC.CV
can'cera,kɐ̃.ˈdjɐj.ɾu,CV.CCVC.CV
Candelàr,,
candelér,,
Cândia,kɐ̃.ˈdɐj.ɐ,CV.CVC.V
Canto,ˈkwɐ̃.tu,CV.V.CV
Kep,,
Capas,kɐ.ˈpaʃ,CV.CVC
Capitel,,
Captão,kɐ.pi.ˈtɐ̃w̃,CV.CV.CVG
capitano,kɐ.pi.ˈtɐ̃w̃,CV.CV.CVG
Caravão,kɐɾ.ˈvɐ̃w̃,CVC.CVG
Careiro,,
cararo,,
Cargá,kɐ.Rɨ.ˈɡaɾ,CV.CV.CVC
Cargação,kɐ.Rɨ.ɡɐ.ˈmẽ.tu,CV.CV.CV.CV.CV
Cari,,
Caria,,
Caridavel,kɐ.ɾi.ˈdo.zu,CV.CV.CV.CV
Caringuejo,kɐ.ɾɐ̃.ˈɡɐj.ʒu,CV.CV.CVC.CV
Caristia,kɐ.ɾɨʃ.ˈti.ɐ,CV.CVC.CV.V
caristi,kɐ.ɾɨʃ.ˈti.ɐ,CV.CVC.CV.V
carrestia,kɐ.ɾɨʃ.ˈti.ɐ,CV.CVC.CV.V
Carrete,,
careta,,
caretè,,
Carro,,
Cartá,,
Carta-mesa,,
Cartè,ˈkaɾ.tɐ,CVC.CV
Casa-lugária,,
Casa-porta,,
Casião,ɔ.kɐ.ˈzjɐ̃w̃,V.CV.CCVG
Cassa,ˈkaj.ʃɐ,CVC.CV
Cassão,,
Castella,kɐʃ.ˈtɛ.lu,CVC.CV.CV
castellé,kɐʃ.ˈtɛ.lu,CVC.CV.CV
Castigação,kɐʃ.ˈti.ɡu,CVC.CV.CV
Cativeira,,
Catividade,kɐ.ti.ˈvɐj.ɾu,CV.CV.CVC.CV
Catàrr,kɐ.ˈta.Ru,CV.CV.CV
Causo,ˈkaw.zɐ,CVG.CV
Cavador,,
Cavalheria,kɐ.vɐ.lɐ.ˈɾi.ɐ,CV.CV.CV.CV.V
Cavente,,
Cavelyéro,kɐ.vɐ.ˈʎɐj.ɾu,CV.CV.CVC.CV
Cavelo,kɐ.ˈbe.lu,CV.CV.CV
Caverno,kɐ.ˈvɛɾ.nɐ,CV.CVC.CV
Caxa,ˈkɐj.ʃɐ,CVC.CV
Cendê,ɐ.sẽ.ˈdeɾ,V.CV.CVC
Cento,,
centa,,
Cents,,
Ceremonio,sɨ.ɾi.ˈmɔ.njɐ,CV.CV.CV.CCV
Certeza,,
certézè,,
Chabuco,,
chabuca,,
Chalo,ʃa.ˈlɛ,CV.CV
Chan,,
Chap,,
Chápè,ˈʃa.pɐ,CV.CV
Chape,ʃɐ.ˈpɛw,CV.CVG
Chart,,
Chela,,
Chéo,ˈʃɐj.u,CVC.V
Chéro,ˈʃɐj.ɾu,CVC.CV
chiero,ˈʃɐj.ɾu,CVC.CV
chiesto,ˈʃɐj.ɾu,CVC.CV
chisto,ˈʃɐj.ɾu,CVC.CV
Chisto,,
Chiado,,
Cheadice,,
chediça,,
chidiça,,
chidice,,
Chedice-lingua,,
China-patàz,,
Chinglà,,
Chipi,,
Chita,,
Chocarréa,ʃu.kɐ.ˈRi.sɨ,CV.CV.CV.CV
choqueria,ʃu.kɐ.ˈRi.sɨ,CV.CV.CV.CV
Chomà,ʃɐ.ˈmaɾ,CV.CVC
Chóma,ʃɐ.mɐ.ˈmẽ.tu,CV.CV.CV.CV
Chorrà,,
churá,,
Chóve,,
Cristendade,,
Cristmas,,
Chuchadas,,
Chuchado,,
Chulo,,
Chumà,,
Chumaço,,
Chunambo,,
Chusmo,,
Cinquo,ˈsĩ.ku,CVC.CV
cinquè,ˈsĩ.ku,CVC.CV
Cinquento,,
Cintura,,
Cinturà,,
Circumcisá,,
circumciá,,
Circumcido,,
Cizo,,
Cizomente,,
Clar,ˈkla.ɾu,CCV.CV
Clarmente,kla.ɾɐ.ˈmẽ.tɨ,CCV.CV.CV.CV
Cóber,,
Cobiço,,
Kófi,,
Coidá,kuj.ˈdaɾ,CVC.CVC
Coidado,kuj.ˈda.du,CVC.CV.CV
Çoità,ɐ.soj.ˈtaɾ,V.CVC.CVC
Coitado,,
Colleição,ku.lɛ.ˈsɐ̃w̃,CV.CV.CVG
Color,,
clor,,
Columno,ku.ˈlu.nɐ,CV.CV.CV
Cóma,ˈko.mu,CV.CV
comè,ˈko.mu,CV.CV
Combersan,kõ.vɨɾ.ˈsɐ̃w̃,CVC.CVC.CVG
Começa,,
Comedi,ku.ˈmɛ.djɐ,CV.CV.CCV
comédè,ku.ˈmɛ.djɐ,CV.CV.CCV
Comera,ku.ˈmi.dɐ,CV.CV.CV
comêrè,ku.ˈmi.dɐ,CV.CV.CV
comero,ku.ˈmi.dɐ,CV.CV.CV
comeira,ku.ˈmi.dɐ,CV.CV.CV
coméria,ku.ˈmi.dɐ,CV.CV.CV
Comers,,
Comfortable,,
Comidá,kõ.vi.ˈdaɾ,CVC.CV.CVC
Comidação,kõ.ˈvi.tɨ,CVC.CV.CV
Commettá,ku.mɨ.ˈteɾ,CV.CV.CVC
Comménda,,
Comminhão,ku.mu.ˈɲɐ̃w̃,CV.CV.CVG
Communigá,,
Companha,,
compinha,,
Companhà,,
compinhà,,
Companhamen-to,ɐ.kõ.pɐ.ɲɐ.ˈmẽ.tu,V.CVC.CV.CV.CV.CV
companhimento,ɐ.kõ.pɐ.ɲɐ.ˈmẽ.tu,V.CVC.CV.CV.CV.CV
compinhamento,ɐ.kõ.pɐ.ɲɐ.ˈmẽ.tu,V.CVC.CV.CV.CV.CV
Compinhador,,
Companhério,,
compinheiro,,
Compania,,
Competè,,
competá,,
Complemento,,
Compridão,,
comperdão,,
compramento,,
Comtodo,kõ.ˈtu.du,CVC.CV.CV
Con'cé,ku.ɲɨ.ˈseɾ,CV.CV.CVC
Cóncert,,
Concertá,,
Concérta,,
Concià,,
Condiná,kõ.dɨ.ˈnaɾ,CVC.CV.CVC
Condinação,kõ.dɨ.nɐ.ˈsɐ̃w̃,CVC.CV.CV.CVG
Confessão,kõ.ˈfɛ.su,CVC.CV.CV
confesso,kõ.ˈfɛ.su,CVC.CV.CV
Confiador,,
Confidença,,
Confina,,
Conforma,kõ.ˈfɔɾ.mɨ,CVC.CVC.CV
Confundá,kõ.fũ.ˈdiɾ,CVC.CVC.CVC
Confusado,,
condusadoso,,
Consciancia,,
conscencia,,
Consecrá,,
Consecração,kõ.sɐ.ɡɾɐ.ˈsɐ̃w̃,CVC.CV.CCV.CVG
Conselà,kõ.su.ˈlaɾ,CVC.CV.CVC
Conselação,kõ.su.lɐ.ˈsɐ̃w̃,CVC.CV.CV.CVG
consalação,kõ.su.lɐ.ˈsɐ̃w̃,CVC.CV.CV.CVG
Conselador,,
Conselyo,kõ.ˈse.ʎu,CVC.CV.CV
Conselharo,,
conselhéro,,
conseleiro,,
Consente,,
Consequences,,
Consistá,kõ.siʃ.ˈtiɾ,CVC.CVC.CVC
Constrangà,kõʃ.tɾɐ̃.ˈʒeɾ,CVCC.CCV.CVC
Constructado,,
Consuma,,
Conta-papel,,
Contendo,,
Contentado,kõ.ˈtẽ.tɨ,CVC.CV.CV
Conter,ˈkõ.tɾɐ,CVC.CCV
Contino,,
continual,,
Continualmente,,
Contradizão,,
contradiza,,
Contrairo,kõ.ˈtɾa.ɾju,CVC.CCV.CCV
Contriá,,
Contriação,,
Conversão,kõ.vɨɾ.sɐ.ˈsɐ̃w̃,CVC.CVC.CV.CVG
Convertà,,
Convertação,kõ.vɨɾ.ˈsɐ̃w̃,CVC.CVC.CVG
Convidação,kõ.ˈvi.tɨ,CVC.CV.CV
Convinçà,kõ.vẽ.ˈseɾ,CVC.CV.CVC
Copa,,
cope,,
Copa-ti,,
Copra,,
Copy,,
Coragè,ku.ˈɾa.ʒɐ̃j̃,CV.CV.CVC
corajo,ku.ˈɾa.ʒɐ̃j̃,CV.CV.CVC
courajo,ku.ˈɾa.ʒɐ̃j̃,CV.CV.CVC
Coragemente,,
Cordà,ɐ.kuɾ.ˈdaɾ,V.CVC.CVC
cordià,ɐ.kuɾ.ˈdaɾ,V.CVC.CVC
Cordè,ˈkɔɾ.dɐ,CVC.CV
Cores,,
Coresmo,,
Corovà,ku.ˈɾwaɾ,CV.CV.VC
Corovè,ku.ˈɾo.ɐ,CV.CV.V
Correctà,,
corrigá,,
Correição,ku.Rɛ.ˈsɐ̃w̃,CV.CV.CVG
Correntè,kwɐ.ˈɾẽ.tɐ,CV.V.CV.CV
currento,kwɐ.ˈɾẽ.tɐ,CV.V.CV.CV
Corruptido,ku.ˈRup.tu,CV.CVC.CV
Côrto,ˈkuɾ.tu,CVC.CV
Cósse,ˈkoj.sɨ,CVC.CV
Cossià,,
Cossér,ku.ˈsɐj.ɾɐ,CV.CVC.CV
Costa,,
Couraço,kow.ˈɾa.sɐ,CVG.CV.CV
Kôrt,,
Cóusus,,
cousès,,
Cóver,,
Covodo,,
covido,,
Creditor,,
